,id,Unnamed: 0,pmid,date,epubdate,journal_abbr,authors,last_author,title,volume,issue,pages,language,nlmuniqueid,issn,essn,study_design,recordstatus,pubstatus,ArticleIds,doi,history,references,hasabstract,pmcrefcount,journal_full,elocationid,so,abstract,year,source,subgroup
431,432,39,32589515,2020 Jul,2020 Jun 25,Tissue Eng Part A,"['Barnett S', 'Badger GJ', 'Kiapour A', 'Yen YM', 'Henderson R', 'Freiberger C', 'Proffen B', 'Sant N', 'Trainor B', 'Fleming BC', 'Micheli LJ', 'Murray MM', 'Kramer DE']",Kramer DE,Females Have Earlier Muscle Strength and Functional Recovery After Bridge-Enhanced Anterior Cruciate Ligament Repair.,26.0,13-14,702-711,['English'],101466659,1937-3341,1937-335X,"['Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32589515', 'PMC7398430', 'pmc-id: PMC7398430;', '10.1089/ten.tea.2020.0057']",10.1089/ten.tea.2020.0057,"['2020/06/27 06:00', '2021/05/29 06:00', '2020/06/27 06:00', '2021/07/01 00:00']",[],1,48,Tissue engineering. Part A,doi: 10.1089/ten.tea.2020.0057,2020 Jul;26(13-14):702-711,"Background: While a sex effect on outcomes following anterior cruciate ligament (ACL) reconstruction surgery has been previously documented, less is known following bridge-enhanced ACL repair (BEAR). We hypothesized that female sex would have significantly worse early functional outcomes and higher retear rates following primary repair of the ACL enhanced with a tissue-engineered scaffold. Methods: Sixty-five patients (28 males and 37 females), age 14-35 with a complete ACL tear underwent primary repair of the ACL enhanced with a tissue-engineered scaffold (bridge-enhanced ACL repair) within 45 days of injury. International Knee Documentation Committee (IKDC) and Knee Injury and Osteoarthritis Outcome (KOOS) scores, as well as instrumented anteroposterior (AP) laxity through KT-1000 testing and functional outcome measures were obtained at time points up to 2 years postoperatively and compared between males and females using mixed model repeated measures analyses and chi square tests. Results: There was no significant sex difference on the postoperative IKDC Subjective Score at 3, 6, 12, or 24 months or any of the five KOOS scores at 12 and 24 months. Instrumented AP laxity testing demonstrated mean (standard deviation) side-to-side differences that were similar in the two sexes at 2 years; 1.7 (2.7) mm and 1.5 (3.7) mm in females and males, respectively, p = 0.72. At 6 months postoperatively, males had a larger deficit in hamstring strength on the operated leg (14.0% vs. 1.7%; p = 0.03) and a larger deficit in quadriceps strength on the operated leg (11.3% vs. 2.0%; p = 0.004); however, no sex difference was noted at 12 or 24 months. Females demonstrated superior single leg hop testing at 6 and 12 months ([91.3% vs. 78.1%, p = 0.001], [96.9% vs. 87.0%, p = 0.01] respectively). There were no significant sex differences on ipsilateral (males; 14.3% vs. females; 13.9%, p = 1.00) or contralateral (males; 3.6% vs. females; 2.8%, p = 1.00) ACL reinjury rates. Conclusions: Female subjects had better hamstring and quadriceps strength indices at 6 months than males as well as better hop test results at the 6 and 12-month time period. Despite this, there was no significant sex difference on patient-reported outcomes and objective AP laxity testing at time points up to 2 years postoperatively. Impact statement This is the first study comparing sex specific outcomes following the bridge-enhanced ACL repair technique (BEAR). The results of this study suggest that females have earlier recovery of both muscle strength and functional outcomes compared to their male counterparts. This is an important finding when considering future modifications to postoperative care and rehabilitation in females and males following this tissue-engineered BEAR technique.",2020,pubmed,qt
432,433,40,32452208,2020 Jul,2020 May 26,Am J Sports Med,"['Mendias CL', 'Enselman ERS', 'Olszewski AM', 'Gumucio JP', 'Edon DL', 'Konnaris MA', 'Carpenter JE', 'Awan TM', 'Jacobson JA', 'Gagnier JJ', 'Barkan AL', 'Bedi A']",Bedi A,"The Use of Recombinant Human Growth Hormone to Protect Against Muscle Weakness in Patients Undergoing Anterior Cruciate Ligament Reconstruction: A Pilot, Randomized Placebo-Controlled Trial.",48.0,8,1916-1928,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish+epublish,"['32452208', 'NIHMS1598109', 'PMC7351248', 'pmc-id: PMC7351248;manuscript-id: NIHMS1598109;', '10.1177/0363546520920591']",10.1177/0363546520920591,"['2020/05/27 06:00', '2020/11/11 06:00', '2020/05/27 06:00', '2021/07/01 00:00']",[],1,44,The American journal of sports medicine,doi: 10.1177/0363546520920591,2020 Jul;48(8):1916-1928,"BACKGROUND: Anterior cruciate ligament (ACL) tears are common knee injuries. Despite undergoing extensive rehabilitation after ACL reconstruction (ACLR), many patients have persistent quadriceps muscle weakness that limits their successful return to play and are also at an increased risk of developing knee osteoarthritis (OA). Human growth hormone (HGH) has been shown to prevent muscle atrophy and weakness in various models of disuse and disease but has not been evaluated in patients undergoing ACLR. HYPOTHESIS: Compared with placebo treatment, a 6-week perioperative treatment course of HGH would protect against muscle atrophy and weakness in patients undergoing ACLR. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: A total of 19 male patients (aged 18-35 years) scheduled to undergo ACLR were randomly assigned to the placebo (n = 9) or HGH (n = 10) group. Patients began placebo or HGH treatment twice daily 1 week before surgery and continued through 5 weeks after surgery. Knee muscle strength and volume, patient-reported outcome scores, and circulating biomarkers were measured at several time points through 6 months after surgery. Mixed-effects models were used to evaluate differences between treatment groups and time points, and as this was a pilot study, significance was set at P < .10. The Cohen d was calculated to determine the effect size. RESULTS: HGH was well-tolerated, and no differences in adverse events between the groups were observed. The HGH group had a 2.1-fold increase in circulating insulin-like growth factor 1 over the course of the treatment period (P < .05; d = 2.93). The primary outcome measure was knee extension strength, and HGH treatment increased normalized peak isokinetic knee extension torque by 29% compared with the placebo group (P = .05; d = 0.80). Matrix metalloproteinase-3 (MMP3), which was used as an indirect biomarker of cartilage degradation, was 36% lower in the HGH group (P = .05; d = -1.34). HGH did not appear to be associated with changes in muscle volume or patient-reported outcome scores. CONCLUSION: HGH improved quadriceps strength and reduced MMP3 levels in patients undergoing ACLR. On the basis of this pilot study, further trials to more comprehensively evaluate the ability of HGH to improve muscle function and potentially protect against OA in patients undergoing ACLR are warranted. REGISTRATION: NCT02420353 ( ClinicalTrials.gov identifier).",2020,pubmed,qt
433,434,41,32221043,2020 Nov 1,2020 Mar 28,J Sport Rehabil,"['Rush JL', 'Lepley LK', 'Davi S', 'Lepley AS']",Lepley AS,The Immediate Effects of Transcranial Direct Current Stimulation on Quadriceps Muscle Function in Individuals With a History of Anterior Cruciate Ligament Reconstruction: A Preliminary Investigation.,29.0,8,1121-1130,['English'],9206500,1056-6716,1543-3072,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32221043', '10.1123/jsr.2019-0179', 'jsr.2019-0179']",10.1123/jsr.2019-0179,"['2019/05/02 00:00', '2019/09/17 00:00', '2019/10/16 00:00', '2020/03/30 06:00', '2020/03/30 06:00', '2021/04/07 06:00']",[],1,0,Journal of sport rehabilitation,doi: 10.1123/jsr.2019-0179,2020 Nov 1;29(8):1121-1130,"CONTEXT: Altered quadriceps activation is common following anterior cruciate ligament reconstruction (ACLR), and can persist for years after surgery. These neural deficits are due, in part, to chronic central nervous system alterations. Transcranial direct current stimulation (tDCS) is a noninvasive modality, that is, believed to immediately increase motor neuron activity by stimulating the primary motor cortex, making it a promising modality to use improve outcomes in the ACLR population. OBJECTIVE: To determine if a single treatment of tDCS would result in increased quadriceps activity and decreased levels of self-reported pain and dysfunction during exercise. DESIGN: Randomized crossover design. SETTING: Controlled laboratory. PATIENTS: Ten participants with a history of ACLR (5 males/5 females, 22.9 [4.23] y, 176.57 [12.01] cm, 80.87 [16.86] kg, 68.1 [39.37] mo since ACLR). INTERVENTIONS: Active tDCS and Sham tDCS. MAIN OUTCOME MEASURES: Percentage of maximum electromyographic data of vastus medialis and lateralis, voluntary isometric strength, percentage of voluntary activation, and self-reported pain and symptom scores were measured. The 2 x 2 repeated-measures analysis of variance by limb were performed to explain the differences between time points (pre and post) and condition (tDCS and sham). RESULTS: There was a significant time main effect for quadriceps percentage of maximum electromyographic of vastus medialis (F9,1 = 11.931, P = .01) and vastus lateralis (F9,1 = 9.132, P = .01), isometric strength (F9,1 = 5.343, P = .046), and subjective scores for pain (F9,1 = 15.499, P = .04) and symptoms (F9,1 = 15.499, P = .04). Quadriceps percentage of maximum electromyographic, isometric strength, and voluntary activation showed an immediate decline from pre to post regardless of tDCS condition. Subjective scores improved slightly after each condition. CONCLUSIONS: One session of active tDCS did not have an immediate effect on quadriceps activity and subjective scores of pain and symptoms. To determine if tDCS is a valid modality for this patient population, a larger scale investigation with multiple treatments of active tDCS is warranted.",2020,pubmed,qt
434,435,42,32167837,2020 Mar,,Am J Sports Med,"['Curran MT', 'Bedi A', 'Mendias CL', 'Wojtys EM', 'Kujawa MV', 'Palmieri-Smith RM']",Palmieri-Smith RM,Blood Flow Restriction Training Applied With High-Intensity Exercise Does Not Improve Quadriceps Muscle Function After Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.,48.0,4,825-837,['English'],7609541,0363-5465,1552-3365,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['32167837', '10.1177/0363546520904008']",10.1177/0363546520904008,"['2020/03/14 06:00', '2020/03/14 06:00', '2020/11/11 06:00']",[],1,0,The American journal of sports medicine,doi: 10.1177/0363546520904008,2020 Mar;48(4):825-837,"BACKGROUND: A major goal of rehabilitation after anterior cruciate ligament reconstruction (ACLR) is restoring quadriceps muscle strength. Unfortunately, current rehabilitation paradigms fall short of this goal, such that substantial quadriceps muscle strength deficits can limit return to play and increase the risk of recurrent injuries. Blood flow restriction training (BFRT) involves the obstruction of venous return to working muscles during exercise and may lead to better recovery of quadriceps muscle strength after ACLR. PURPOSE: To examine the efficacy of BFRT with high-intensity exercise on the recovery of quadriceps muscle function in patients undergoing ACLR. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: A total of 34 patients (19 female, 15 male; mean age, 16.5 +/- 2.7 years; mean height, 169.0 +/- 19.7 cm; mean weight, 73.2 +/- 17.7 kg) scheduled to undergo ACLR were randomly assigned to 1 of 4 groups: concentric (n = 8), eccentric (n = 8), concentric with BFRT (n = 9), and eccentric with BFRT (n = 9). The exercise component of the intervention consisted of patients performing a single-leg isokinetic leg press, at an intensity of 70% of the patients' 1-repetition maximum during either the concentric or eccentric action, for 4 sets of 10 repetitions 2 times per week for 8 weeks beginning at 10 weeks postoperatively. Patients randomized to the BFRT groups performed the leg-press exercise with a cuff applied to the thigh, set to a limb occlusion pressure of 80%. Isometric and isokinetic (60 deg/s) quadriceps peak torque, quadriceps muscle activation, and rectus femoris muscle volume were assessed before ACLR, after BFRT, and at the time that patients returned to activity and were converted to the change in values from baseline for analysis. Also, 1-way analyses of covariance were used to compare the change in values for each dependent variable between groups after BFRT and at return to activity (P </= .05). RESULTS: No significant differences were found between groups for any outcome measures at either time point (P > .05). CONCLUSION: An 8-week BFRT plus high-intensity exercise intervention did not significantly improve quadriceps muscle strength, activation, or volume. On the basis of our findings, the use of BFRT in conjunction with high-intensity resistance exercise in patients undergoing ACLR to improve quadriceps muscle function may not be warranted. REGISTRATION: NCT03141801 ( ClinicalTrials.gov identifier).",2020,pubmed,qt
435,436,43,32152642,2020 Mar 31,2020 Mar 31,J Rehabil Med,"['Zhang X', 'Huang H', 'Yu Y', 'Yang J', 'Liang Z', 'Chang C']",Chang C,Impact of whey protein isolate and eccentric training on quadriceps mass and strength in patients with anterior cruciate ligament rupture: A randomized controlled trial.,52.0,3,jrm00035,['English'],101088169,1650-1977,1651-2081,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['32152642', '10.2340/16501977-2664']",10.2340/16501977-2664,"['2020/03/11 06:00', '2020/07/03 06:00', '2020/03/11 06:00']",[],1,0,Journal of rehabilitation medicine,doi: 10.2340/16501977-2664,2020 Mar 31;52(3):jrm00035,"OBJECTIVE: To examine the effects of combining whey protein isolate supplement with preoperative isokinetic eccentric training on quadriceps mass and strength following anterior cruciate ligament rupture. DESIGN: Randomized controlled trial. SUBJECTS: A total of 37 male subjects with anterior cruciate ligament rupture. METHODS: Participants were randomly assigned to an isokinetic eccentric training group (n = 19) or an isokinetic eccentric training + whey protein isolate group (n = 18). Both groups received isokinetic eccentric training for 6 weeks. The isokinetic eccentric training + whey protein isolate group received 22 g whey protein isolate daily. RESULTS: After the intervention, the cross-sectional area of the affected quadriceps had increased only in the isokinetic eccentric training + whey protein isolate group (7.6 +/- 6.8%; p = 0.012), whereas there was no change in the isokinetic eccentric training group (3.7 +/- 4.5%; p = 0.11). Both groups showed increased quadriceps strength; however, there were no further effects for the isokinetic eccentric training + whey protein isolate group. Lysholm and IKDC 2000 knee function scores increased only in the isokinetic eccentric training + whey protein isolate group (p < 0.01). CONCLUSION: Although the study showed numerically better outcomes for the combination of whey protein isolate supplement with isokinetic eccentric training compared with isokinetic eccentric training alone, no statistically significant differences were demonstrated between the groups.",2020,pubmed,qt
436,437,44,32147485,2020 Jun,2020 Mar 6,Arthroscopy,"['Getgood A', 'Hewison C', 'Bryant D', 'Litchfield R', 'Heard M', 'Buchko G', 'Hiemstra LA', 'Willits KR', 'Firth A', 'MacDonald P', 'Stability Study Group']",MacDonald P,No Difference in Functional Outcomes When Lateral Extra-Articular Tenodesis Is Added to Anterior Cruciate Ligament Reconstruction in Young Active Patients: The Stability Study.,36.0,6,1690-1701,['English'],8506498,0749-8063,1526-3231,"['Journal Article', 'Multicenter Study', 'Pragmatic Clinical Trial', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['32147485', '10.1016/j.arthro.2020.02.015', 'S0749-8063(20)30156-0']",10.1016/j.arthro.2020.02.015,"['2019/10/29 00:00', '2020/02/05 00:00', '2020/02/12 00:00', '2020/03/10 06:00', '2020/11/11 06:00', '2020/03/10 06:00']",['Arthroscopy. 2020 Jun;36(6):1702-1705. doi: 10.1016/j.arthro.2020.03.034. PMID: 32503779'],1,0,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,doi: 10.1016/j.arthro.2020.02.015,2020 Jun;36(6):1690-1701,"PURPOSE: To assess the functional outcomes of patients included in the Stability Study randomized controlled trial comparing anterior cruciate ligament reconstruction (ACLR) alone with ACLR with lateral extra-articular tenodesis (LET) at 6, 12, and 24 months postoperatively. METHODS: Six hundred eighteen patients undergoing ACLR, all under the age of 25 years either returning to contact pivoting sport or displaying signs of high-grade rotatory laxity or generalized ligamentous laxity, were randomly assigned to receive ACLR alone or ACLR plus LET. A total of 356 of these patients were randomized at centers participating in the functional assessments. Our primary outcome was Limb Symmetry Index, calculated using a series of 4-hop tests at 6, 12, and 24 months postoperatively. Secondary outcome measures included pain, patient-reported function, and isokinetic strength testing. RESULTS: We found no statistically significant difference in the proportion of patients either unwilling or unfit to complete the hop testing in the ACLR alone or ACLR with LET group at 6 months (40 vs 40 respectively; P = 1.00), 12 months (25 vs 27; P = .76), and 24 months (21 vs 23; P = .87). Of those who completed hop testing, there were no statistically significant differences between groups in Limb Symmetry Index at 6, 12, or 24 months. Self-reported function (Lower Extremity Functional Score) significantly favored the ACLR alone group at 3 (P = .01) and 6 months (P = .02) postoperative but was similar by 12 months postoperative. Pain scores (P4) also showed a statistically significant difference in favor of the ACL alone group, but this also resolved by 6 months. Quadriceps peak torque (P = .03) and average power (P = .01) were also significantly different in favor of the ACLR alone group at 6 months postoperative; however, these were similar between groups by 12 months postoperative (P = .11 and P = .32, respectively). CONCLUSIONS: The addition of a LET to ACLR results in slightly increased pain, a mild reduction in quadriceps strength, and reduced subjective functional recovery up to 6 months postoperatively. However, these differences do not have any impact on objective function as measured by hop test limb symmetry index. LEVEL OF EVIDENCE: I, Randomized Controlled Trial.",2020,pubmed,qt
437,438,45,32125668,2020 Jul,,Sports Med,"['Sinding KS', 'Nielsen TG', 'Hvid LG', 'Lind M', 'Dalgas U']",Dalgas U,Effects of Autograft Types on Muscle Strength and Functional Capacity in Patients Having Anterior Cruciate Ligament Reconstruction: A Randomized Controlled Trial.,50.0,7,1393-1403,['English'],8412297,0112-1642,1179-2035,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['32125668', '10.1007/s40279-020-01276-x', '10.1007/s40279-020-01276-x']",10.1007/s40279-020-01276-x,"['2020/03/04 06:00', '2021/02/25 06:00', '2020/03/04 06:00']",[],1,0,"Sports medicine (Auckland, N.Z.)",doi: 10.1007/s40279-020-01276-x,2020 Jul;50(7):1393-1403,"BACKGROUND: The effects of different autograft types for anterior cruciate ligament reconstruction (ACL-R) on muscle function are sparsely investigated in randomized controlled trials. Our aim was to investigate the effects of quadriceps tendon autograft (QTB) vs. semitendinosus-gracilis autograft (StG) on thigh muscle strength and functional capacity, and a patient-reported outcome 1 year after ACL-R, and to compare the results to healthy controls. METHODS: ACL-R patients (n = 100) and matched controls (CON, n = 50) were recruited, with patients being randomly assigned to QTB (n = 50) or StG (n = 50) ACL-R. One year after ACL-R, bilateral knee extensor (KE) and flexor (KF) muscle strength (isometric, dynamic, explosive, limb symmetry index [LSI], hamstring:quadriceps ratio [HQ ratio]) were assessed by isokinetic dynamometry, along with functional capacity (single leg hop distance [SHD]) and a patient-reported outcome (International Knee Documentation Committee [IKDC] score). RESULTS: KE muscle strength of the operated leg was lower (9-11%) in QTB vs. StG as was KE LSI, while KF muscle strength was lower (12-17%) in StG vs. QTB as was KF LSI. HQ ratios were lower in StG vs. QTB. Compared with the controls, KE and KF muscle strength were lower in StG (10-22%), while KE muscle strength only was lower in QTB (16-25%). Muscle strength in the StG, QTB, and CON groups was identical in the non-operated leg. While SHD and IKDC did not differ between StG and QTB, SHD in both StG and QTB was lower than CON. The IKDC scores improved significantly 1 year following ACL-R for both graft types. CONCLUSION: One year after ACL-R, muscle strength is affected by autograft type, with StG leading to impairments of KE and KF muscle strength, while QTB results in more pronounced impairments of KE only. Functional capacity and patient-reported outcome were unaffected by autograft type, with the former showing impairment compared to healthy controls. CLINICAL TRIALS REGISTRATION NUMBER: NCT02173483.",2020,pubmed,qt
438,439,46,31828089,2019,2019 Nov 15,Biomed Res Int,"['Kaya D', 'Guney-Deniz H', 'Sayaca C', 'Calik M', 'Doral MN']",Doral MN,"Effects on Lower Extremity Neuromuscular Control Exercises on Knee Proprioception, Muscle Strength, and Functional Level in Patients with ACL Reconstruction.",2019.0,,1694695,['English'],101600173,2314-6133,2314-6141,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,,"['31828089', 'PMC6881759', 'pmc-id: PMC6881759;', '10.1155/2019/1694695']",10.1155/2019/1694695,"['2019/10/01 00:00', '2019/10/31 00:00', '2019/12/13 06:00', '2019/12/13 06:00', '2020/04/24 06:00', '2019/11/15 00:00']",[],1,27,BioMed research international,doi: 10.1155/2019/1694695,2019;2019:1694695,"OBJECTIVE: The purpose of this study was to determine the effects of lower extremity motor control exercises on knee proprioception, muscle strength, and functional level in patients with anterior cruciate ligament reconstruction (ACL-R). MATERIALS AND METHODS: Thirty-two of the 57 patients with ACL-R using tibialis anterior allografts were divided into two groups. Group I: lower extremity motor control exercises were added to the standard rehabilitation program. Group II: standard rehabilitation program was applied. Effects of lower extremity motor control exercises on quadriceps and hamstring muscles strength, knee joint position sense, and hop test were evaluated. RESULTS: There were no differences in muscle strength and endurance of the quadriceps and hamstring between the operative and nonoperative sides in Group I (p > 0.05) while there were significant differences in strength of the quadriceps and hamstring between the operative and nonoperative sides in Group II (p < 0.05). There were significant differences in the endurance of the quadriceps and hamstring and knee joint position sense at 15 degrees , 45 degrees , and 75 degrees  between the operative sides of the patients in both groups (p < 0.05). CONCLUSIONS: The neuromuscular control exercises program was found to be more effective in reducing the difference in strength while the standard program was found to be more effective in reducing the difference in endurance between the operated knee and the other knee. This study revealed that neuromuscular control exercises should also be used to improve knee proprioception sense following ACL-R.",2019,pubmed,qt
439,440,47,31512448,2019 Sep 15,,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,"['Liu H', 'Lu W', 'Liang D', 'Geng H', 'Zhu W', 'Ouyang K', 'Li H', 'Peng L', 'Feng W', 'Zhong M', 'Chen K', 'Li Y', 'Deng Z', 'Wang D']",Wang D,[Effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament reconstruction].,33.0,9,1088-1094,['Chinese'],9425194,1002-1892,,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['31512448', 'PMC8355844', 'pmc-id: PMC8355844;', '10.7507/1002-1892.201902059']",10.7507/1002-1892.201902059,"['2019/09/13 06:00', '2019/09/13 06:00', '2019/11/07 06:00', '2019/09/01 00:00']",[],1,23,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,doi: 10.7507/1002-1892.201902059,2019 Sep 15;33(9):1088-1094,"OBJECTIVE: To investigate the effect of isokinetic training of thigh muscle group on graft remodeling after anterior cruciate ligament (ACL) reconstruction, and summarize the relevant rules to guide the clinic. METHODS: Between August 2016 and December 2016, forty patients underwent arthroscopic ACL reconstruction using hamstring tendon were randomly divided into isokinetic group and control group ( n=20). The two groups of patients underwent staged rehabilitation treatment. The isokinetic group replaced the traditional intervention with the corresponding isokinetic strength training from 3 to 6 months after operation, and the traditional rehabilitation intervention was used in the control group. Finally, 12 cases of isokinetic group and 12 cases of control group with complete follow-up were enrolled in study. There was no significant difference in gender, age, body mass index, side of injury, the interval between injury and operation, and preoperative International Knee Documentation Committee (IKDC) score between the two groups ( P>0.05). The peak torque (PT) of knee extension and flexion and hamstring quadriceps ratio (H/Q) were measured at 3 months, 6 months, 12 months, and the second-look arthroscopy. The MRI examination was performed at the same time to evaluate graft remodeling. The shape, tension, and degree of vascularization of grafts were observed under arthroscopy. The grafts were harvested and observed by HE staining. RESULTS: The invertal between ACL reconstruction and the second-look arthroscopy was (23.57+/-3.23) months in isokinetic group and (23.22+/-3.56) months in control group, showing no significant difference between the two groups ( P>0.05). At the second-look arthroscopy, the IKDC score was 90.45+/-4.73 in isokinetic group and 89.32+/-4.54 in control group, showing significant differences when compared with preoperative scores in the two groups ( P<0.05). But there was no significant difference between the two groups ( t=0.868， P=0.404). At 3 months after operation, there was no significant difference in the PT of knee extension and flexion between the two groups ( P>0.05). At 6 months, 12 months, and the second-look arthroscopy, the PT of knee extension and flexion in isokinetic group were higher than those in control group ( P<0.05). The H/Q at 6 months and 12 months were higher in isokinetic group than in control group, and the differences were significant ( P<0.05). There was no significant difference in MRI score between the two groups at 3 months, 6 months, and the second-look arthroscopy ( P>0.05). The MRI score at 12 months was significantly higher in isokinetic group than in control group ( P<0.05). At the second-look arthroscopy, there was no significant difference in the arthroscopic score between the two groups ( P>0.05), and the histological score of the isokinetic group was superior to the control group ( P<0.05). CONCLUSION: On the basis of regular rehabilitation training, using the isokinetic training system to develop a suitable post-surgical isokinetic rehabilitation training program is helpful in early muscle strength recovery, early graft remodeling, and even long-term histological results after ACL reconstruction.",2019,pubmed,qt
440,441,48,31351901,2020 Sep-Oct,2019 Jul 16,Braz J Phys Ther,"['Vidmar MF', 'Baroni BM', 'Michelin AF', 'Mezzomo M', 'Lugokenski R', 'Pimentel GL', 'Silva MF']",Silva MF,Isokinetic eccentric training is more effective than constant load eccentric training for quadriceps rehabilitation following anterior cruciate ligament reconstruction: a randomized controlled trial.,24.0,5,424-432,['English'],101615124,1413-3555,1809-9246,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish+epublish,"['31351901', 'PMC7563799', 'pmc-id: PMC7563799;', '10.1016/j.bjpt.2019.07.003', 'S1413-3555(19)30009-7']",10.1016/j.bjpt.2019.07.003,"['2019/01/09 00:00', '2019/07/02 00:00', '2019/07/03 00:00', '2019/07/29 06:00', '2021/04/07 06:00', '2019/07/29 06:00', '2019/07/16 00:00']",[],1,54,Brazilian journal of physical therapy,doi: 10.1016/j.bjpt.2019.07.003,2020 Sep-Oct;24(5):424-432,"OBJECTIVE: To compare the effects of conventional (constant load) eccentric training and isokinetic eccentric training on quadriceps muscle mass, strength and functional performance in recreational athletes following anterior cruciate ligament (ACL) reconstruction. METHODS: Thirty recreational male athletes (25 years old) undergoing ACL reconstruction received a standard rehabilitation program. Volunteers were randomized to conventional group (CG; n = 15) or isokinetic group (IG; n = 15) to be engaged in a 6-week (2 sessions/week) quadriceps eccentric training program at the extensor chair or at the isokinetic dynamometer, respectively. Assessments of quadriceps muscle mass (through magnetic resonance imaging), strength (through isokinetic dynamometry) and self-aware functionality (through questionnaire) were performed before and after the training programs. Single leg hop test performance was assessed only at post-training evaluation. RESULTS: IG had significantly higher improvements than CG (p < 0.05) for all muscle mass outcomes (+17-23% vs. +5-9%), as well as for isometric (+34% vs. +20%) and eccentric (+85% vs. +23%) peak torques. There was no between-group difference (p > 0.05) for concentric peak torque, Lysholm score, and single leg hop test. CONCLUSION: Isokinetic eccentric training promotes greater responses than conventional eccentric training on quadriceps muscle mass and strength of recreational athletes following ACL reconstruction.",2020,pubmed,qt
441,442,49,31246607,2019 Sep,,Anesthesiology,"['Abdallah FW', 'Mejia J', 'Prasad GA', 'Moga R', 'Chahal J', 'Theodoropulos J', 'Dwyer T', 'Brull R']",Brull R,"Opioid- and Motor-sparing with Proximal, Mid-, and Distal Locations for Adductor Canal Block in Anterior Cruciate Ligament Reconstruction: A Randomized Clinical Trial.",131.0,3,619-629,['English'],1300217,0003-3022,1528-1175,"['Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",PubMed - indexed for MEDLINE,ppublish,"['31246607', '10.1097/ALN.0000000000002817']",10.1097/ALN.0000000000002817,"['2019/06/28 06:00', '2020/02/01 06:00', '2019/06/28 06:00']",[],1,0,Anesthesiology,doi: 10.1097/ALN.0000000000002817,2019 Sep;131(3):619-629,"BACKGROUND: The ideal location for single-injection adductor canal block that maximizes analgesia while minimizing quadriceps weakness after painful knee surgery is unclear. This triple-blind trial compares ultrasound-guided adductor canal block injection locations with the femoral artery positioned medial (proximal adductor canal), inferior (mid-adductor canal), and lateral (distal adductor canal) to the sartorius muscle to determine the location that optimizes postoperative analgesia and motor function. The hypothesis was that distal adductor block has (1) a superior opioid-sparing effect and (2) preserved quadriceps strength, compared with proximal and mid-locations for anterior cruciate ligament reconstruction. METHODS: For the study, 108 patients were randomized to proximal, mid-, or distal adductor canal injection locations for adductor canal block. Cumulative 24-h oral morphine equivalent consumption and percentage quadriceps strength decrease (maximum voluntary isometric contraction) at 30 min postinjection were coprimary outcomes. The time to first analgesic request, pain scores, postoperative nausea/vomiting at least once within the first 24 h, and block-related complications at 2 weeks were also evaluated. RESULTS: All patients completed the study. Contrary to the hypothesis, proximal adductor canal block decreased 24-h morphine consumption to a mean +/- SD of 34.3 +/- 19.1 mg, (P < 0.0001) compared to 64.0 +/- 33.6 and 65.7 +/- 22.9 mg for the mid- and distal locations, respectively, with differences [95% CI] of 29.7 mg [17.2, 42.2] and 31.4 mg [21.5, 41.3], respectively, mostly in the postanesthesia care unit. Quadriceps strength was similar, with 16.7%:13.4%:15.3% decreases for proximal:mid:distal adductor canal blocks. The nausea/vomiting risk was also lower with proximal adductor canal block (10 of 34, 29.4%) compared to distal location (23 of 36, 63.9%; P = 0.005). The time to first analgesic request was longer, and postoperative pain was improved up to 6 h for proximal adductor canal block, compared to mid- and distal locations. CONCLUSIONS: A proximal adductor canal injection location decreases opioid consumption and opioid-related side effects without compromising quadriceps strength compared to mid- and distal locations for adductor canal block in patients undergoing anterior cruciate ligament reconstruction.",2019,pubmed,qt
